text,number_of_results,max_length,max_sentences,min_probability,stop_sequences,top_p,top_k,temperature,repetition_penalty,seed
"The top 10 best things about this year...

",1,100,0,0,".,?,!",0.9,35,0.8,1.15,0
"The 10 worst things about this year...

",1,100,0,0,,0.9,35,0.8,1.15,0
"The top 10 best things about christmas...

",1,100,0,0,".,?,!",0.9,35,0.8,1.15,0
"The 10 worst things about christmas...

",1,100,0,0,,0.9,35,0.8,1.15,0
"The top 10 best things about halloween...

",1,100,0,0,".,?,!",0.9,35,0.8,1.15,0
"The 10 worst things about halloween...

",1,100,0,0,,0.9,35,0.8,1.15,0
"The top 10 best things about thanksgiving...

",1,100,0,0,".,?,!",0.9,35,0.8,1.15,0
"The 10 worst things about thanksgiving...

",1,100,0,0,,0.9,35,0.8,1.15,0
"The top 10 best things about parties...

",1,100,0,0,".,?,!",0.9,35,0.8,1.15,0
"The 10 worst things about parties...

",1,100,0,0,,0.9,35,0.8,1.15,0
"The top 10 best things about gaming...

",1,100,0,0,".,?,!",0.9,35,0.8,1.15,0
"The 10 worst things about gaming...

",1,100,0,0,,0.9,35,0.8,1.15,0
"The top 10 best things about bear grylls...

",1,100,0,0,".,?,!",0.9,35,0.8,1.15,0
"The 10 worst things about bear grylls...

",1,100,0,0,,0.9,35,0.8,1.15,0
"The top 10 best things about new years...

",1,100,0,0,".,?,!",0.9,35,0.8,1.15,0
"The 10 worst things about new years...

",1,100,0,0,,0.9,35,0.8,1.15,0
"The top 10 best things about heavy metal...

",1,100,0,0,".,?,!",0.9,35,0.8,1.15,0
"The 10 worst things about heavy metal...

",1,100,0,0,,0.9,35,0.8,1.15,0
"The top 10 best things about eating healthy...

",1,100,0,0,".,?,!",0.9,35,0.8,1.15,0
"The 10 worst things about eating healthy...

",1,100,0,0,,0.9,35,0.8,1.15,0
"The top 10 best things about design...

",1,100,0,0,".,?,!",0.9,35,0.8,1.15,0
"The 10 worst things about fishing...

",1,100,0,0,,0.9,35,0.8,1.15,0
